newid,CPUUtilization_Average,NetworkIn_Average,NetworkOut_Average,MemoryUtilization_Average,Final_Target
0,39,199985900,181947520,68.09846248,51.23358797
1,38,197149929,178799262,70.27986756,51.78663439
2,39,196705693,177780732,71.57827558,53.00514658
3,42,196745369,177207045,71.21028895,54.21845304
4,46,196874858,176836746,69.17950295,55.02094829
5,50,199402220,179040792,66.05200587,55.28712773
6,53,207727071,187318096,62.38178465,54.94459631
7,54,222632974,202762891,58.31688853,53.77434387
8,54,239130380,220944974,53.70873526,51.46251246
9,52,247529966,232674945,48.56951796,47.92737833
10,48,239635160,229620027,43.41341257,43.67263812
11,44,215437697,210685551,39.11669829,39.7722143
12,42,183978513,183337527,36.36447025,37.33254984
13,42,157319373,158585389,35.17487082,36.80838958
14,44,143238597,144327848,34.98095013,37.80016796
15,48,142819444,142609676,35.23468918,39.54689133
16,51,153505469,151751393,35.9662066,41.62934397
17,55,173034202,169688491,37.74680254,44.18681891
18,58,199993875,194693444,41.07203881,47.47980207
19,62,231322149,223419718,45.74155858,51.32419408
20,65,260661198,249603568,50.81674683,55.01949239
21,66,280470095,266144855,55.1960652,57.82375916
22,66,286492234,269348322,58.30492366,59.46882873
23,66,280274041,261228502,60.33305334,60.23145585
24,65,267113409,247336824,61.85389429,60.53765995
25,64,251404426,232074892,63.19051181,60.48577885
26,61,233958362,216034187,64.15612753,59.74497855
27,57,213625784,197650030,64.47093573,57.97821319
28,52,190901982,176873249,64.38701519,55.41356725
29,46,169447260,156838694,64.67502117,52.92678989
30,42,154398003,142359690,65.7851935,51.42673072
31,40,149978474,137608446,67.04570097,51.10446985
32,40,158671698,145170474,66.85755633,51.28884447
33,43,181068224,165734133,63.77766568,50.97102676
34,46,214456134,196690702,57.46502898,49.38309564
35,48,250985113,230492650,48.75368814,46.16855468
36,47,278768804,255901358,39.05900475,41.31137265
37,44,287311059,263266014,29.74070098,35.16686563
38,38,273738262,250326574,21.73742498,28.53960223
39,31,244476132,223467716,15.46038531,22.51886684
40,27,211081961,193457067,10.94967528,18.0958668
41,25,184370790,169886341,8.287102,15.91730282
42,26,171275840,158561371,7.963692581,16.32220275
43,30,174503064,161628631,10.73361402,19.38611959
44,35,192500593,177761674,16.91621552,24.74710579
45,40,219350960,201914213,25.7920957,31.45629901
46,44,246480790,226587546,35.79091832,38.24253833
47,47,266644387,245342154,45.35007023,44.11173427
48,48,277651612,256342417,53.55670347,48.7330754
49,49,282824785,262945074,59.98082147,52.25331955
50,51,287730589,270561236,64.15489783,54.81913007
51,52,295870062,282207392,65.597758,56.38503567
52,55,306900702,296485356,64.50037328,56.98744251
53,57,318382717,309453664,62.19259398,57.06971693
54,60,328226280,317775247,60.60689707,57.35869481
55,61,334513195,319402773,61.05638538,58.30523496
56,61,333345786,311749340,63.41865249,59.62034512
57,60,318892572,291184714,66.41469315,60.40678965
58,57,287770989,256317498,68.66205,59.85979243
59,52,244282475,212250463,69.63075661,57.99460499
60,47,200713300,170592697,69.85501417,55.78376712
61,44,171124123,143801226,70.35811475,54.53617726
62,43,163324306,138158835,71.80775288,55.01000312
63,45,175328838,151001203,74.09542817,57.01055337
64,48,198204635,173667112,76.59041237,59.72376447
65,52,221933028,196923318,78.59408182,62.27250417
66,54,239818564,214821602,79.37019151,63.87332882
67,55,249588178,225462966,77.83445566,63.64131083
68,54,251890364,229496803,72.67098492,60.63921842
69,51,247863261,227943370,63.30042055,54.46826808
70,45,237683083,220963690,51.00099735,45.93228161
71,38,221459507,208648089,38.91285229,37.02312337
72,32,201780970,193194596,30.50252479,30.04158457
73,28,185079125,180099222,27.58414606,26.48930129
74,26,179400204,176280354,29.51611831,26.54992666
75,27,189326210,185659824,34.06324349,29.34485777
76,31,211898678,205470711,38.89734078,33.48330732
77,36,237366010,226780472,42.4708541,37.47392349
78,40,254780477,239516152,44.03578614,40.04264941
79,41,258104335,238207420,43.43801885,40.51813752
80,41,248195812,224069740,41.13167185,39.1304061
81,39,230310835,202784887,38.22197369,36.92625231
82,38,210505264,180948428,36.15475704,35.26135059
83,37,193592888,163787593,36.04227463,35.12478181
84,39,182427480,154216040,38.06212788,36.64176627
85,40,177463132,152401878,41.41172233,39.03314907
86,41,176762874,155943245,44.86071631,41.08957704
87,40,177145037,161162300,47.441775,41.88176732
88,37,176301635,165287927,48.78201421,41.25148216
89,34,174730441,168381635,48.9897144,39.80652663
90,32,175938251,173475570,48.37561519,38.49440959
91,32,184053114,184141316,47.29334356,38.05979001
92,35,200071494,200870193,46.14098748,38.69751845
93,38,219895535,219422075,45.34077065,40.04141275
94,41,236369712,233066489,45.1526977,41.4196791
95,43,243900106,237021427,45.4904392,42.22553582
96,42,241674881,231247267,46.04092847,42.25289884
97,41,232741747,219305600,46.58895671,41.77936919
98,39,219970123,204507279,47.04837606,41.20604181
99,37,202795958,186909002,47.06458376,40.45937648
100,35,178061462,164033779,45.78067017,38.78782683
101,31,144399841,134799035,42.30656121,35.33342884
102,26,105860723,102782741,36.53340671,30.00686466
103,20,70851290,75190268,29.42370078,23.77196003
104,15,47034019,58077792,22.48207565,18.052311
105,12,36881262,52363020,16.98128868,13.89418666
106,10,37851981,54525515,13.61728262,11.66733222
107,11,46545824,61198646,12.64076138,11.38114073
108,13,62504134,72996533,14.03779337,13.04898521
109,17,88004079,93777784,17.50867475,16.64899948
110,23,124206708,126041502,22.43275895,21.82922879
111,30,167492218,166819527,28.06086827,27.81615209
112,37,209769002,208024260,33.82481831,33.715665
113,42,243068779,241267164,39.46624658,38.96506155
114,46,264636069,263055863,44.92807226,43.57116914
115,50,277679839,275649565,50.20016474,47.95394806
116,55,286685478,282764410,55.21033477,52.47798311
117,60,291804085,284531141,59.68993926,56.98070845
118,64,288432160,277234817,63.06772465,60.68611579
119,67,273087073,258584910,64.61232618,62.65333817
120,67,249874712,233239716,63.87107503,62.4501769
121,66,230666333,212540073,61.11687618,60.52302083
122,64,227990579,207839574,57.45337898,58.01201156
123,63,246510647,222891013,54.46947199,56.20568391
124,64,280175657,251643090,53.59884193,56.0021204
125,65,317008447,283004150,55.49776721,57.62439612
126,67,347024729,308224252,59.77640184,60.6492303
127,69,366791834,324864420,65.23059474,64.25978823
128,71,377988008,335064952,70.4097226,67.5603194
129,72,382702750,340887198,74.18846538,69.81925512
130,72,380068180,341131489,76.07398869,70.58240432
131,70,366640955,331859835,76.14561368,69.66274251
132,66,339734117,309768776,74.73784964,67.09702363
133,60,300900131,275701231,72.17106983,63.19295179
134,54,256763247,235610031,68.75386583,58.62122223
135,49,216469886,198225151,64.9171946,54.30009465
136,46,187778311,171263788,61.18401973,50.98764081
137,44,174694361,158933914,57.98887677,48.94514839
138,45,177657864,161839933,55.62940102,48.07688512
139,47,194723221,178039306,54.38656202,48.36731883
140,50,221877005,203531718,54.50610077,50.00548238
141,55,252877421,232322872,55.91879347,52.98889189
142,61,280707541,257830300,58.04107712,56.72113759
143,66,301012669,276057927,59.97594143,60.14563938
144,70,314419258,287824164,60.9104827,62.27157726
145,71,324438836,296908885,60.28119542,62.52010857
146,70,332200443,305014473,57.69465947,60.67348572
147,66,333326898,308425946,52.98817495,56.74611398
148,60,320529475,300013573,46.57327637,51.08034936
149,54,289755900,274957657,39.68246528,44.5392258
150,46,244419794,235178534,34.08599805,38.4554138
151,40,194303666,188989676,31.3421102,34.21076335
152,36,150313506,146629187,32.09177863,32.65404791
153,35,119177128,115226348,35.84351899,33.70807504
154,35,101630307,96601234,41.27143575,36.41506966
155,36,94552424,88675050,46.76703956,39.42215748
156,36,94521236,88456466,51.04629765,41.67176258
157,36,99812257,93937914,53.70871872,42.94926464
158,36,110008498,104033420,55.49811428,43.97687925
159,38,124680507,117738435,57.91786422,45.943506
160,42,142842993,133903905,62.23224078,49.70749526
161,47,163351989,151638362,68.49125774,55.17845516
162,53,185139318,170331084,75.3378188,61.28061288
163,59,206612114,188851181,80.78668189,66.4847698
164,62,224948759,204779469,83.43763569,69.55896835
165,64,236529769,214836141,83.28329187,70.13347845
166,63,238656840,216536012,81.54863673,68.78744776
167,60,231283551,209822276,79.66225799,66.57463427
168,57,217310466,197362006,78.10595354,64.25545805
169,53,201275351,183354201,76.04886419,61.80906605
170,51,187671064,171947418,72.13654708,58.67940172
171,48,180164607,166453688,65.8791399,54.59042977
172,47,181633618,169381071,58.4653036,50.16112643
173,45,193799212,182217474,52.15907582,46.63271187
174,45,215770297,204237404,48.64650818,44.85212461
175,45,242579458,231147655,47.75576915,44.45855774
176,45,265865219,255486875,47.73652591,44.11842254
177,42,277602727,269751321,46.84835849,42.66771725
178,39,274653578,270447926,44.79898921,40.12381124
179,36,260151226,259558727,42.80434486,37.64330488
180,34,240397520,242115647,42.39082553,36.51998896
181,34,220733420,222816663,44.13246582,37.19966005
182,34,204576119,205287158,47.36867786,39.15681682
183,36,195211281,193516908,50.90781139,41.54189818
184,38,196370526,191948449,53.88940661,43.81804382
185,40,209860260,202884420,56.09611124,45.85111592
186,42,232836665,223817317,57.74324537,47.64903087
187,44,257901336,247635848,59.19509917,49.22651907
188,45,276206208,265741458,60.80803434,50.68365309
189,46,281339149,271826553,62.74694076,52.19278187
190,48,271861697,264238700,64.71310316,53.73256381
191,49,251861026,246404752,65.8512565,54.84543669
192,50,229910712,225867308,65.12787318,54.8091853
193,49,216516116,212099205,62.055703,53.19387565
194,48,219673785,212608515,57.19440701,50.27777449
195,46,239758796,228235202,51.92186726,46.85794683
196,44,267630223,251218271,47.60613605,43.63958438
197,40,289231098,269226573,44.88574198,40.87139711
198,37,294538760,273446237,43.62529905,38.57891463
199,34,283786851,264117889,43.4204341,37.00956031
200,32,265684110,248699961,44.08042747,36.68607099
201,34,249694262,234819704,45.71073282,38.00893347
202,37,239461441,224709265,48.45370788,40.88868234
203,41,232132180,215277253,52.1357028,44.7524489
204,46,222296800,202148523,56.03551517,48.77936404
205,50,206495679,183610696,58.97286914,52.11134009
206,53,185951080,162422534,59.83745858,54.07155822
207,56,167025481,145473628,58.32987657,54.47941384
208,58,158786699,141167619,55.32324645,53.83754589
209,59,167707656,154672553,52.43416083,53.07254406
210,60,192312123,183387718,51.0731458,52.91783047
211,60,222070427,216282031,51.67805936,53.41036786
212,59,242144584,238502609,53.58775116,53.85889987
213,56,241117138,238745880,55.50633492,53.26641009
214,50,216968034,215075789,56.24079507,50.95081091
215,43,178124894,176074935,55.32262254,47.01256182
216,35,139296183,136821564,53.13219816,42.31093561
217,29,114434458,111851850,50.42697757,37.91112902
218,24,110733069,108986461,47.68695217,34.44855757
219,22,126796650,127247498,44.87660482,31.971415
220,21,155027341,159019935,41.795945,30.33685549
221,23,185531781,193856156,38.64319668,29.69178506
222,27,209164044,221602160,36.29402981,30.56147093
223,34,219710912,234867117,36.05756164,33.49444938
224,42,216218941,231753938,38.9855044,38.57107405
225,49,204746596,217954469,45.09981788,45.14067995
226,56,197074320,205580119,53.07323529,51.97845643
227,60,205280273,207609165,60.69025393,57.76704932
228,63,234937059,230792777,65.8718676,61.59708257
229,65,281875152,272064363,67.65430047,63.24421926
230,66,335070404,321092413,66.58566917,63.20535871
231,67,383103084,366539952,64.34894935,62.5336082
232,68,418746951,400731286,62.7917975,62.41613861
233,70,438539146,419605938,62.88510857,63.5381915
234,73,439513353,419917351,64.2377422,65.57798156
235,76,418220629,398429306,65.43151,67.25005205
236,76,374318690,355235164,64.87557675,66.96946728
237,72,315126930,297873112,61.64974618,63.77150739
238,66,255302523,240829647,55.97715002,57.95234518
239,58,210216671,199115147,49.19157164,51.05188382
240,51,187996599,180543167,43.22075019,45.16831518
241,48,186530403,182674676,39.80345624,41.99407386
242,48,196926338,196032942,39.79932394,42.11860552
243,51,209484051,210101020,42.85011172,44.9000427
244,55,217423075,217556204,47.44185159,48.80486857
245,58,217086857,215060162,51.36326603,51.95885822
246,58,206810944,202142576,52.55648504,52.78094654
247,56,187004465,180540849,50.11083397,50.62306688
248,52,161701076,154785755,44.8004314,46.14482344
249,47,139371539,132602558,38.66431237,41.04804927
250,44,130445408,122915944,33.81477,37.14141024
251,43,141494993,131072001,31.31024506,35.29227715
252,42,169650730,154140341,30.86895512,35.03366484
253,42,202119215,180615018,31.48604642,35.11663306
254,40,222663196,196285862,32.3185609,34.52712714
255,36,221445599,193039320,33.10528231,33.13830662
256,32,201328557,174270249,33.91950058,31.5623572
257,29,175894501,152701296,34.70492273,30.51082479
258,28,160726267,142273857,35.2037253,30.34909049
259,30,164356372,150078197,35.38008929,31.17691745
260,33,184536206,173262159,35.77747563,33.08464704
261,38,210699396,201418756,37.18599652,36.03643024
262,43,229829924,221921953,39.73187543,39.40549682
263,45,232637128,225668646,42.28987368,41.8301702
264,45,217857468,211335762,42.99899578,41.87923973
265,41,192806418,186126471,40.61413137,39.10852132
266,37,169186537,161743568,35.53432074,34.51363084
267,33,155909341,147282120,29.59939785,29.87523329
268,31,153550747,143719859,24.89006616,26.5675586
269,29,154721935,144226713,22.60275695,24.89994109
270,28,150304310,140123677,22.79963772,24.45550502
271,27,136630341,127685743,24.88741045,24.86520241
272,26,118018662,110544939,28.13817474,26.13805306
273,27,103407120,96637410,31.88354027,28.34228463
274,30,100741027,93141980,35.56337945,31.213707
275,33,113512230,103390381,38.83974903,34.22726315
276,36,140648364,126724380,41.64858768,36.99526843
277,39,177973707,159642486,44.02907052,39.48970308
278,42,219374079,196676077,45.90347299,41.89161574
279,46,257464983,231013373,47.10211072,44.30626719
280,50,284607219,255649930,47.6137062,46.62110124
281,54,294779502,265261168,47.73611792,48.54735846
282,56,285918923,258170275,47.92317477,49.76373928
283,57,261614857,237500683,48.50987344,50.13699461
284,55,230643420,210588117,49.63479325,49.96743326
285,53,203368652,186051798,51.35925073,50.01237723
286,53,186343723,169465710,53.66706403,51.0441615
287,55,179055149,160663183,56.2423841,53.16495882
288,58,175983464,155350606,58.37562668,55.53852815
289,60,172351841,149865377,59.29780561,56.91400343
290,60,168198954,144611347,58.70807949,56.53077716
291,58,167468336,143239941,57.00329816,54.63783171
292,55,174207703,149302838,55.04166103,52.28004922
293,52,190227918,164250551,53.67905158,50.62574705
294,52,215626177,188131536,53.3896117,50.34889842
295,54,249751092,220729489,54.12579811,51.39996521
296,56,290166019,260587191,55.40581404,53.16053919
297,58,330545797,302540226,56.51247753,54.74762474
298,59,360787907,337069714,56.68914376,55.27149926
299,58,370936503,353635069,55.3154147,54.04827079
300,54,356634144,346258237,52.10208932,50.83504506
301,49,322048777,317239516,47.27542334,46.02269911
302,43,278330593,276462618,41.64237792,40.63775949
303,39,239032981,237221696,36.46133329,36.10941533
304,38,215160236,211167211,33.11184896,33.86486376
305,40,211591260,204302621,32.59535653,34.8166364
306,46,225972225,215328669,35.02351259,38.88853001
307,55,250985511,237467685,39.45758101,44.92142939
308,63,279133685,263118832,44.41094595,51.2286557
309,70,306468906,287802585,48.81628915,56.55108903
310,75,332049168,309995403,52.70908912,60.6874469
311,78,354322346,327865351,56.95557701,64.25418589
312,80,369158536,337540699,62.15229486,67.77853738
313,81,372304439,335602095,67.6504163,70.93615067
314,81,363920258,323347074,71.66545297,72.63567759
315,78,350615072,308274848,72.50080161,71.91943234
316,75,342958707,301070198,69.87254581,68.92610219
317,71,350146616,310168367,65.18732316,65.06298742
318,70,374776737,337027692,60.54065603,62.15299674
319,71,410083473,374169339,57.28440476,61.15903718
320,74,441334619,407085895,55.27870367,61.4601446
321,75,451921969,420096859,53.27674363,61.24271929
322,73,431731080,403876568,49.99684212,58.71236942
323,66,382596598,360132776,45.04678692,53.24187864
324,57,316883926,300103098,39.13515603,45.7045254
325,46,250559848,238282861,33.58307072,37.91174437
326,37,196339925,186451194,29.58322768,31.67963597
327,31,161224371,151659728,27.68048045,28.13608375
328,30,147871703,137341445,27.64503174,27.50415895
329,32,156323032,144326412,28.62529703,29.20603032
330,38,183909769,170220024,29.46078926,32.08510422
331,43,224213728,208433914,29.15934064,34.74715739
332,48,267320321,248934058,27.47356598,36.08645001
333,50,302505261,281293916,25.24590278,35.83076512
334,48,322382705,298754025,24.11121839,34.7127074
335,46,326142394,301085265,25.53181574,34.03099084
336,43,319610785,294350889,29.73886722,34.82689591
337,42,311458499,287043736,35.3685282,37.20569712
338,44,307406331,284373769,40.12632896,40.21776257
339,46,306361576,284551381,42.06164133,42.35620113
340,48,301830495,280416925,40.61512448,42.39513025
341,47,287835616,265646322,36.80182398,40.09137587
342,43,264092672,240184307,32.49483441,36.29733323
343,38,235630287,209893612,29.32434604,32.38429659
344,33,207903056,181319815,27.86279795,29.37939921
345,30,183201390,157476372,27.51598445,27.44194877
346,27,161945596,138649825,27.12344724,26.02945548
347,25,146167663,125936782,25.90657192,24.58164677
348,24,140040125,122338488,24.18066921,23.18736725
349,24,146262980,129762134,23.30102269,22.70888191
350,26,162180058,145399899,24.79649515,24.22801129
351,30,179935844,161785178,29.32693975,28.23285272
352,35,190949002,171009051,36.29955976,34.21348994
353,41,191003397,169543641,44.35535611,40.96547909
354,47,181974027,159751817,52.13367985,47.25665911
355,51,169385830,147340124,58.65019861,52.28862577
356,54,158459878,137436578,63.2506548,55.74828681
357,55,151956448,132550410,65.5599048,57.67509733
358,57,150787872,133296204,65.64591154,58.39676493
359,59,155746716,140158763,64.18635049,58.52932537
360,61,168279344,154214590,62.3519969,58.8862586
361,65,189715421,176298962,61.39474542,60.21999094
362,70,219770355,205577574,62.14074637,62.8684603
363,75,255577336,238827085,64.5876689,66.47591067
364,79,292226647,271249548,67.76904611,69.98591314
365,81,324734692,298527114,70.02346662,72.00370407
366,80,349905203,318516228,69.63209607,71.37303035
367,76,366477727,331079134,65.54696657,67.64313853
368,70,373997740,336622304,57.91484639,61.24097628
369,64,372393812,335435898,48.24130924,53.39571181
370,57,362903260,328547746,39.04855093,45.84482466
371,51,348747025,318476271,32.93450155,40.26204463
372,47,334234445,308487858,31.38114962,37.56918713
373,44,323028084,301089459,34.08880464,37.59059245
374,43,316802296,297052776,39.30764622,39.32047905
375,42,314388025,294978394,44.81524949,41.52810703
376,41,311411300,291119570,48.81462957,43.22000763
377,41,301505471,280313481,50.39110453,43.79369546
378,40,279667396,258684519,49.61412589,43.04122859
379,39,245955496,226704707,47.42916788,41.16294898
380,36,206720522,190193550,45.36536767,38.80994964
381,32,172412233,158428230,45.06341514,37.06439596
382,30,153257648,140468530,47.68655693,37.19189497
383,30,154736025,141246513,53.38412744,40.09086078
384,34,174792850,159009757,61.1257788,45.72078185
385,42,204743846,185942694,69.17689096,53.03683925
386,51,234199468,212512909,76.02140416,60.59822107
387,60,257097723,233057946,81.02757161,67.32308315
388,68,274477209,248537183,84.3115391,72.72336053
389,75,292123112,264518500,86.0927504,76.61301269
390,79,315208689,286235018,86.36501093,78.86877343
391,82,343821800,314347602,85.17784749,79.54646696
392,83,372148445,344032571,82.90407356,78.98525904
393,83,391668828,367672955,79.88105097,77.50740405
394,81,396287436,379218469,75.81705434,74.99564097
395,79,385974184,377298291,69.910118,70.97875317
396,75,366505162,365238275,61.83403291,65.29930655
397,70,345801833,348493158,52.60912637,58.69031596
398,66,329564023,331519139,44.37699032,52.61474724
399,62,318678531,315811776,39.17952725,48.45038206
400,60,309363122,299794568,37.71940358,46.67814729
401,59,295769604,280452403,39.00275551,46.66260783
402,58,273748811,255788093,41.06700504,47.12973804
403,56,243513251,226420192,42.26965909,46.97166726
404,54,209329596,195128721,42.21805451,45.79551985
405,50,176698094,165031475,41.64069892,43.83628655
406,45,149537456,138291449,41.37360231,41.41933303
407,39,129413236,116326700,41.48276016,38.60586801
408,33,116678760,100759512,41.40708629,35.4363813
409,27,111932298,93808701,40.88794005,32.4511638
410,24,116257741,97495751,40.56642519,30.75383701
411,24,129816409,111932429,41.48574108,31.32017098
412,27,149971586,133836482,43.92418508,34.08510031
413,32,171169178,156935949,46.74661516,37.68890891
414,36,187792689,175042801,48.06226905,40.27885357
415,39,198385266,186240355,46.7743818,40.85548344
416,40,207553883,194802316,43.68306209,40.0864446
417,42,223102192,208509976,41.10479255,39.85325873
418,46,250148074,232933357,41.32932375,41.87914474
419,52,287333721,267503002,45.26342307,46.60669111
420,59,328662274,306847046,52.2128273,53.16682421
421,66,368850327,345608775,60.5345139,60.17087757
422,71,406443073,381522830,68.3182675,66.41056721
423,75,441623821,413902352,73.71227575,70.94518767
424,78,471620580,439959518,75.11711013,72.84934886
425,78,489158134,453543402,71.54465591,71.20622986
426,74,486104653,448076144,63.10694646,65.56861214
427,67,459266348,421245782,51.27470676,56.52381386
428,57,413444753,377562416,38.52591466,45.77465433
429,47,359595458,326962080,27.41040155,35.5251844
430,38,309972035,280760772,19.59320193,27.57825225
431,32,273659741,247593629,15.5123497,22.7746714
432,29,254265428,230949014,14.73044004,21.02412827
433,29,249381925,228346866,16.46271592,21.65455739
434,30,251267415,231988518,19.78357115,23.69581036
435,31,249320157,231403244,23.56771279,26.03085453
436,31,234727078,218167620,26.6056439,27.6177021
437,30,205439089,190703996,28.07922128,27.86291397
438,28,168073656,155898954,28.03524336,26.91562347
439,26,134920289,125952524,27.35491161,25.5882138
440,25,117644902,112146427,27.15147886,24.88375146
441,25,121340463,119079169,28.03232417,25.4118549
442,27,142001641,142295071,29.74601202,27.04165736
443,29,168481449,170312375,31.40941879,28.98799223
444,31,187959648,190116755,32.10051693,30.28544146
445,32,192458724,193678054,31.39495649,30.37550528
446,32,183093590,182175970,29.52197545,29.42961254
447,32,169134862,165069097,27.12110213,28.17569832
448,32,161594231,153775531,24.85339288,27.34980131
449,34,165270072,153802254,23.15588546,27.19209742
450,35,175419370,161256077,22.24893076,27.38098926
451,35,182090401,166714493,22.31279706,27.45663766
452,34,178610087,163271040,23.67526801,27.40803834
453,31,167130797,152102859,26.86176956,27.97331597
454,31,157095169,141502821,32.4033958,30.39349539
455,34,158726489,141050084,40.41594199,35.71022094
456,42,177170249,155985909,50.16128644,43.99495005
457,53,211109862,185513521,59.93504664,53.98204477
458,65,255083064,224729175,67.51564735,63.38615993
459,75,302053818,267239173,71.06435279,69.79851237
460,80,344376369,306449999,70.00053115,71.7083893
461,80,374546564,336243531,65.28643816,69.11894875
462,74,387563372,352529251,58.90389449,63.46928346
463,66,383808966,355167995,52.8834271,56.95880795
464,60,369410807,348200779,48.52875933,51.63840634
465,56,353066897,337684473,46.18788211,48.66740924
466,55,341689388,328799227,45.44013563,48.01169322
467,56,337764695,324053253,45.44198397,48.6808517
468,58,339179212,322787454,45.34049288,49.3779625
469,58,340728442,321552643,44.66740592,49.19839478
470,57,336695288,315631188,43.47448354,47.97086572
471,54,323899998,301791869,42.10638086,46.13144158
472,52,303770363,280831120,40.90403564,44.39516693
473,51,281947539,257869766,40.18083545,43.50446035
474,52,265605120,240040560,40.35471244,44.03141888
475,55,260362653,233322613,41.82790863,46.10352308
476,59,268667367,240619275,44.5681459,49.194046
477,62,290047399,261734094,47.86088023,52.29729298
478,64,322039510,294174112,50.61083128,54.48591581
479,64,360118846,333150576,51.96396429,55.37498973
480,64,396436337,370541653,51.69745838,55.07389871
481,62,419648734,394932483,50.158174,53.79760021
482,60,418496726,395187353,48.0097538,51.68284891
483,57,388388667,366785919,46.07879058,49.02967303
484,52,336201088,316351032,45.26911982,46.59837
485,49,278668395,260025014,46.32914075,45.46262205
486,48,234538739,215965291,49.40447842,46.3609152
487,49,215422191,195674236,53.61927434,49.00713737
488,52,220772478,199225341,57.14123623,51.95220487
489,54,239297953,216428900,58.01833357,53.24903309
490,53,255513858,232745894,55.43841644,51.58840289
491,48,257921365,236848221,50.44303385,47.13867378
492,41,244500943,225958059,45.31521633,41.42766379
493,34,222251483,205848722,41.94324943,36.28788607
494,28,200983225,185447495,40.44658434,32.63979082
495,23,185939163,170084635,39.20684543,30.04681315
496,21,175171698,158854655,36.28628268,27.37096074
497,19,163569802,147942065,31.10880807,23.98100383
498,17,149185561,136054050,25.11546067,20.51584693
499,18,135564057,126349759,20.90844821,18.54411453
500,20,128417445,123465111,20.51882944,19.36225309
501,24,130828085,129410918,24.07210944,22.92322639
502,28,141632636,142395553,29.7981261,27.7898049
503,32,157180104,158590927,35.25192403,32.08943374
504,34,173394528,174056421,38.6774344,34.58585135
505,34,186257304,185195696,39.51026462,35.025564
506,32,191660471,188620361,37.98383153,33.74098017
507,30,186416368,181974639,34.6157983,31.16458656
508,28,170695837,165963593,30.15260271,27.77044491
509,25,149975540,145935500,25.72751209,24.29786537
510,23,133689621,130555060,22.65355962,21.73243213
511,21,129920694,126987076,21.79049823,20.82735886
512,22,139673067,135812733,23.03144804,21.55496241
513,23,156005069,150433235,25.39512831,23.07405495
514,23,169496972,162176919,27.65116687,24.34801758
515,23,175561089,166923360,29.02009682,24.93552063
516,23,177367910,167652025,29.56601856,25.33575607
517,25,182414266,171282643,30.16735335,26.680252
518,31,196296569,183076673,32.09761787,30.0503701
519,39,218759969,203057912,36.33039269,35.85986918
520,48,244286457,226392908,42.87979709,43.60356756
521,58,266016806,246760571,50.63063521,52.04608726
522,67,280138184,260365962,57.8541207,59.71140824
523,74,287755385,267944301,63.06116812,65.39537209
524,78,292616554,272977228,65.59241311,68.45734851
525,79,296372227,277312876,65.65260741,68.84523122
526,77,296063827,278514190,63.97122518,66.98736849
527,72,287098505,272289737,61.41796879,63.680738
528,67,269294200,258051745,58.72986095,59.9634687
529,63,249847774,241855801,56.35679112,56.88444649
530,61,239903684,233457331,54.4429471,55.18984314
531,63,247676707,240168259,52.96798197,55.11230679
532,66,273947520,262887873,51.95363731,56.42895899
533,72,312748963,296750500,51.52345454,58.69389583
534,77,355154839,334314584,51.6907592,61.34831169
535,81,392379706,367965699,52.05474165,63.60165988
536,83,416682455,390518842,51.80192177,64.38500087
537,81,421516810,395504981,50.18726233,62.71653645
538,75,402950966,378809219,47.14108361,58.33834546
539,66,362515929,341548510,43.44653436,52.08640635
540,55,309307139,292100784,40.35488126,45.66028402
541,47,258618240,244801885,39.02198932,40.9754424
542,42,226635249,214884875,40.14782905,39.50600514
543,44,223977638,212278543,43.84282427,41.85810975
544,50,251750931,237814240,49.58785555,47.60310701
545,60,301523021,283324003,56.29244285,55.36196904
546,70,358337843,334769098,62.54745468,63.16922035
547,78,405818282,377213725,67.0537721,69.09586124
548,82,432675230,400735150,69.04647942,71.94840637
549,82,438117049,405046645,68.49798297,71.70452814
550,79,431843340,399217455,65.99647644,69.38311217
551,77,426830450,395038210,62.37945735,66.35984059
552,75,429405515,398022553,58.34221776,63.5473461
553,74,434575314,403176967,54.25154902,61.00712554
554,72,430466741,399130434,50.24855314,58.24484869
555,68,407715511,376941768,46.48428091,54.87091973
556,64,365935327,336298960,43.20390519,51.01210121
557,58,313259858,285182408,40.59233407,47.18210221
558,53,261364883,235061027,38.66010002,43.93237568
559,50,220593962,196020997,37.45435584,41.75265745
560,49,197180011,173981117,37.3692603,41.16694114
561,50,191983526,169645468,38.99236775,42.55131046
562,53,200587464,178886709,42.40822721,45.59842125
563,56,215501888,194888067,46.66181557,49.04821708
564,57,229844055,211289044,50.06027657,51.20991651
565,56,239914891,224217892,51.11928211,50.92768375
566,51,244891736,232004480,49.33837007,48.13289439
567,46,244867885,233820007,45.26607268,43.59408888
568,40,239940037,229370844,39.97405301,38.25605136
569,34,231252524,220024584,34.41289267,32.79377637
570,29,222259576,209668495,29.10309741,27.6623798
571,24,218018794,203591826,24.36596734,23.45714487
572,23,222262623,205527019,20.8378442,21.11989465
573,25,234297428,214858644,19.63134917,21.61508766
574,31,248493036,226395392,21.75464098,25.20523373
575,37,257390822,233409884,27.20641345,30.97778087
576,43,256393103,231928735,34.62043306,37.16943135
577,46,246553909,223119942,41.83379455,42.09208789
578,47,233764354,212385570,46.8884763,44.90179174
579,47,225460539,206331237,48.74029051,45.69292207
580,47,227000513,209563467,47.43519188,45.09376141
581,48,239309410,222668396,43.97211426,43.88349837
