newid,CPUUtilization_Average,NetworkIn_Average,NetworkOut_Average,MemoryUtilization_Average,Final_Target
13290,75,369655696,346455458,59.6016147,64.14750319
13291,59,234618015,216082268,63.60273585,58.48401664
13292,37,160612355,143013647,52.8326436,42.73094844
13293,30,168898448,153101857,49.78447713,38.44366881
13294,26,124320103,110642945,44.11293792,33.79029695
13295,26,85241653,71357193,39.43951994,31.25268524
13296,34,97273511,82872137,52.27784437,41.16679008
13297,64,245996053,229389749,84.05303108,70.74493087
13298,67,317690288,288577814,65.37731141,62.92371133
13299,38,200659100,189077021,38.85734085,36.73646381
13300,23,102444578,96058926,25.74531996,23.61392802
13301,24,95762239,87314721,22.74359031,22.43059637
13302,32,128455301,114181938,26.82047564,28.23049769
13303,34,220640067,202993454,31.52210521,31.29996369
13304,27,187665734,179196947,24.93637138,24.81116902
13305,38,211732200,198493898,26.41773475,30.91912264
13306,53,229327373,210055817,43.99263378,46.26478913
13307,44,259391190,242288633,43.26678912,41.82134645
13308,35,235527956,209221833,57.39616721,44.297084
13309,64,324985036,290446473,73.94875604,65.98894826
13310,65,285031665,260922975,63.32929063,61.39423668
13311,53,248076821,229965745,54.1221455,50.99580173
13312,36,209843443,186288207,45.84962122,39.11414349
13313,40,154724915,138975568,51.52624161,43.92090591
13314,49,176872163,170134887,45.74250915,45.13168473
13315,43,193373842,182101324,30.83238454,35.35692922
13316,78,405373950,364185039,51.57718386,61.6174562
13317,52,295435041,274019966,41.09891936,44.33587077
13318,30,201818624,188253815,30.39589126,28.85752157
13319,42,193837635,184755659,44.48604233,41.53764596
13320,54,169128313,155684368,43.58627797,46.74287235
13321,40,117311751,102110300,42.88840212,39.46524111
13322,28,172387978,158801418,39.51103492,32.24030513
13323,50,256183133,235642043,59.08017389,51.89868957
13324,37,189972382,179863657,58.09497797,45.42540413
13325,31,179795273,174723253,53.25265538,40.41394268
13326,39,190377159,178121743,56.82711436,45.95677184
13327,53,246363010,212016962,60.92426835,54.5228251
13328,56,288939817,244111666,53.98132358,52.45371145
13329,49,295969312,266840128,43.70712413,44.26168525
13330,32,164065603,149942788,40.709693,34.78364968
13331,28,172776306,162310058,40.35849958,32.93944457
13332,36,215123374,196702819,49.01865432,40.5934302
13333,42,249389947,233771700,63.64299846,50.74294616
13334,54,264770912,249095345,58.16827835,53.77816837
13335,46,230060135,212093302,40.41800237,41.4120128
13336,45,286094241,252901942,38.94625073,40.30116226
13337,61,388108557,345820877,60.20061779,57.94645265
13338,59,379020081,348368557,65.34901805,59.50909658
13339,67,397988671,374037127,48.10616957,54.74751732
13340,60,356646334,337237021,53.57843027,54.20663598
13341,42,264919833,247522274,36.41748824,37.46984941
13342,53,333053321,312783793,41.10272681,45.18037643
13343,58,448712228,424478520,54.18510544,53.49596173
13344,59,461855870,436069360,47.58613011,50.78525476
13345,48,302317523,295659247,37.63442274,41.1817545
13346,56,216905942,211113052,42.44944832,46.9967303
13347,65,278286864,259275126,37.29061408,48.78682424
13348,68,336516254,302138960,50.82472041,56.90576069
13349,40,232179054,200547095,33.66924348,35.11921877
13350,43,220874919,192076275,43.91489494,41.77935449
13351,49,238044418,210466650,49.30426824,46.89777134
13352,72,342411349,308579185,71.63817169,68.72998742
13353,63,347646720,320541695,64.73427415,61.20189286
13354,52,379627352,356301274,56.1393312,51.68849934
13355,50,334281168,315887736,54.87734344,50.08275766
13356,64,350224621,324105252,62.30540323,60.0673919
13357,51,239196870,222984940,51.64453053,49.1615031
13358,47,234347657,218415875,47.85573397,45.45172297
13359,51,282068816,268150354,68.71267479,57.00816489
13360,61,319854042,287889993,70.44121298,62.56952289
13361,51,271153390,228605975,61.55538411,53.97366515
13362,42,227366504,204935012,48.29997678,43.06911887
13363,60,332075350,309460033,68.10558892,61.09084269
13364,43,232945544,225828381,61.04480607,49.53172239
13365,34,191457549,189123738,28.26235869,29.61314304
13366,47,232925510,215810469,41.39297138,42.00879902
13367,37,218005253,207837347,64.93874179,48.80783617
13368,55,326484719,321042543,69.39543837,59.48173087
13369,45,249988637,240071151,66.25748439,53.12528252
13370,70,328833663,312429243,77.54243524,70.32659769
13371,62,359653829,335743311,59.89571272,58.36043928
13372,34,240724057,223771680,38.2770605,34.47636874
13373,33,187637775,172606061,44.90890227,37.33495925
13374,49,284688046,258681992,51.48086252,48.02606882
13375,59,288284452,268029358,69.80417932,61.33260387
13376,49,239616391,225631422,55.38536845,50.01582134
13377,26,150055959,140643064,43.64909518,33.62675841
13378,28,175917220,165314014,46.5121307,35.70738049
13379,33,242542717,225384154,38.16754619,33.90103699
13380,23,170822079,155571438,38.0849358,29.41372331
13381,13,105414494,96831680,38.27098562,24.85785564
13382,14,97419447,91973476,40.39199073,26.1927618
13383,28,157994767,150103250,48.35359871,36.68384458
13384,62,273799182,253916136,80.08015987,67.8012613
13385,67,309773014,293692497,62.55921878,61.64317253
13386,37,181831971,176306348,21.65220639,28.24482018
13387,24,142826205,137122407,24.61590641,23.1791887
13388,27,154915498,150612162,40.4344444,32.10081798
13389,28,143027989,141496903,47.3058098,36.2310467
13390,45,217945435,208843207,57.42683504,48.95074838
13391,48,241866684,231114757,67.14629101,54.89119448
13392,62,232718574,227466521,76.79809491,66.36507208
13393,65,239661869,225061703,79.90555885,68.91105819
13394,43,147606389,134375903,65.77984399,52.05520357
13395,61,284488565,268279096,59.83082135,57.75953691
13396,57,398922820,384345725,44.44232502,48.66289286
13397,52,347715811,322953590,45.14259138,46.67028084
13398,69,364444215,331967901,68.73213125,65.7680571
13399,43,211128559,191472017,47.33765673,43.35490065
13400,25,125355959,113561552,44.63562891,33.42650977
13401,27,130460069,119989390,43.20839292,33.87397875
13402,38,201728699,189237679,29.81079837,32.4739641
13403,35,196422505,181323407,35.00599817,33.50868527
13404,34,166448780,152112765,56.66542054,43.48256588
13405,51,260477421,238002173,68.97814145,57.13822155
13406,39,228247334,208829673,41.30835667,38.23431175
13407,20,139707437,124281178,28.72489269,23.3150441
13408,15,133862689,118837647,22.11559054,18.02642268
13409,15,158351554,144051652,16.47863494,15.31793623
13410,22,207759169,192053289,16.06471202,18.4243627
13411,52,321541206,293308640,28.74345968,38.43357419
13412,45,257023346,232483324,36.87193069,39.34606878
13413,50,256414622,227345886,48.24886098,46.7203546
13414,50,292224442,257661313,40.33858957,43.15795893
13415,51,313919122,273076232,41.62241519,44.17446887
13416,50,306831527,281784115,60.22587444,52.49958949
13417,56,293559570,265339809,39.87123877,45.6738475
13418,64,258803334,227771654,41.60382119,50.3557088
13419,43,209899591,198990401,36.2039867,37.95939397
13420,14,92345125,89850380,28.19227415,20.49415179
13421,3,37630944,36061836,26.21659442,14.12331248
13422,0,30281790,30922335,17.22756098,8.561695581
13423,2,34791007,42189302,6.04128928,4.046531112
13424,9,59389649,67811355,6.268561281,7.473833196
13425,23,117925298,115609630,18.69114406,19.85953277
13426,42,152516542,138831953,43.05858201,40.4293023
13427,28,108055644,110318504,37.83713253,31.5512682
13428,23,131105987,134672653,30.25269923,25.68045766
13429,25,157956514,155462646,32.76609163,27.5117168
13430,24,144950946,139434725,36.15785599,28.84501568
13431,18,99526501,98010038,31.42820652,23.6323472
13432,12,69900631,70616294,24.29868824,17.71668809
13433,21,93543645,87812248,28.6776948,23.74251847
13434,57,217665454,190723106,62.30362134,57.07738413
13435,47,191085856,168883224,65.02392802,53.68384727
13436,50,198502880,180806745,48.36924734,46.91325342
13437,31,104337748,90222776,23.12697695,25.82069302
13438,26,106571783,96377143,19.40594231,21.72859175
13439,23,106630486,97623456,26.50068103,23.86821399
13440,28,145096041,131594467,33.71265777,29.49520912
13441,32,244199130,228205085,29.60527422,29.55126634
13442,41,286292595,275942046,42.46236142,39.90254593
13443,58,325041250,319589219,65.21492129,58.71610164
13444,59,253329675,243415633,58.09884943,55.87817103
13445,58,249591746,229368437,46.51687776,49.76292009
13446,45,268234878,250223833,41.64585034,41.63547161
13447,49,330908007,305075540,42.46145226,43.54506009
13448,46,275204888,245704593,50.12685771,46.01047126
13449,49,231006419,207559466,57.40034874,50.87562855
